Image Name,Image URL,Album Link
Adaa_Jaipur_Rayon_Solid_Embroidered_Short_Kurti_For_Women__Olive_Green_.jpg,https://i.ibb.co/cJtqYrj/f65c24b01e19.jpg,
Adaa_Jaipur_Rayon_Solid_Embroidered_Short_Kurti_For_Women__Pink_.jpg,https://i.ibb.co/VJdJNNZ/762405273709.jpg,
Adaa_Jaipur_Rayon_Solid_Embroidered_Short_Kurti_For_Women__Red_.jpg,https://i.ibb.co/SvqXgBc/f3ffdd0f2c8d.jpg,
Adaa_Jaipur_Rayon_Solid_Embroidered_Short_Kurti_For_Women__Sea_Blue_.jpg,https://i.ibb.co/ggXjn2n/bfb24766a639.jpg,
Adaa_Jaipur_Rayon_Solid_Embroidered_Short_Kurti_For_Women__Sea_Green_.jpg,https://i.ibb.co/RSNHf9d/79560f21d519.jpg,
Adaa_Jaipur_Rayon_Solid_Embroidered_Short_Kurti_For_Women__Wine_.jpg,https://i.ibb.co/bQYhnc2/5824de9a55d1.jpg,
Adaa_Jaipur_Round_Neck_Cotton_All_Over_Ethnic_Embroidery_Pink_Straight_Kurta_For_Women.jpg,https://i.ibb.co/f09BhXr/c5fc8a87acf5.jpg,
Adaa_Jaipur_Round_Neck_Cotton_All_Over_Ethnic_Embroidery_Straight_Kurta_For_Women.jpg,https://i.ibb.co/K6m7k1w/a7bd68fed65c.jpg,
Adaa_Jaipur_Round_Neck_Rayon_All_Over_Ethnic_Embroidery_Straight_Kurta_For_Women.jpg,https://i.ibb.co/Z8YZv9v/d57238fea8cc.jpg,
Adaa_Jaipur_Solid_White_Middies_Gown_With_Floral_Printed__White_Red_.jpg,https://i.ibb.co/8K4tkYp/0d9d2fe71483.jpg,
Adaa_Jaipur_Solid_White_Middies_Gown_With_Hand_Embroidery_Work_And_Floral_Printed__White_Blue_.jpg,https://i.ibb.co/cJ9598M/8b302d7059d7.jpg,
Adaa_Jaipur_Solid_White_Middies_Gown_With_Hand_Embroidery_Work_And_Floral_Printed__White_Blue_Red_.jpg,https://i.ibb.co/2qNC4M5/1c10285d5026.jpg,
Adaa_Jaipur_Teal_Blue_Printed_Kurta_Set.jpg,https://i.ibb.co/vYvyKKz/da59377bc287.jpg,
Adaa_Jaipur_Women_Black_Cotton_Embroidery_Kurta_With_Trousers___Dupatta_Set.jpg,https://i.ibb.co/Bsvtvy6/29ab2ef2cc1c.jpg,
Adaa_Jaipur_Women_Black_Cotton_Kurta_With_Trousers___Dupatta_Set.jpg,https://i.ibb.co/Xjx2hvf/85a9366890d0.jpg,
Adaa_Jaipur_Black_Ethnic_Embroidered_Sequinned_Kurta_with_Trousers___Dupatta.jpg,https://i.ibb.co/61YBDqx/68a30304161a.jpg,
Adaa_Jaipur_Women_Blue_Kurta_With_Trousers__Dupatta_Set.jpg,https://i.ibb.co/LzMXtk9/2032d4101938.jpg,
Adaa_Jaipur_Women_Drop_Waist_Multicolors_Tunics.jpg,https://i.ibb.co/B65NtCB/032b75a9fd94.jpg,
Adaa_Jaipur_Women_Drop_Waist_Pink_Tunics.jpg,https://i.ibb.co/3zBc4fL/1b3146dcc9b3.jpg,
Adaa_Jaipur_Women_Drop_Waist_Tunics.jpg,https://i.ibb.co/D9L4DRg/722f6a0104c5.jpg,
Adaa_Jaipur_Women_Drop_Waist_White_Brown_Tunics.jpg,https://i.ibb.co/44hQPkz/09600dae4c21.jpg,
Adaa_Jaipur_Women_Floral_Print_Rayon_Straight_Kurta.jpg,https://i.ibb.co/FVMmrbW/6f7c2d3bd574.jpg,
Adaa_Jaipur_Women_Hand_Embroidered_Tunic.jpg,https://i.ibb.co/d62SGk3/fd03e97b1edf.jpg,
Adaa_Jaipur_Maroon_Ethnic_Embroidered_Sequinned_Kurta_with_Trousers___Dupatta.jpg,https://i.ibb.co/f2m6DYB/cce1db95c3f5.jpg,
